Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
1,Nxtra Agartala I,Nxtra by Airtel,https://www.nxtra.in,"Nxtra by Airtel
within Chanmari area of Agartala
799006 Agartala, India",799006,Agartala,Agartala,Tripura,India,5,Not Specified,7432 sq. ft.
2,BSNL Ahmedabad IDC,BSNL IDC,https://bsnl.co.in/en,"BSNL IDC
Bapunagar Telephone Office, 1 General Hospital Rd
380024 Ahmedabad
Gujarat, India",380024,Ahmedabad,Ahmedabad,Gujarat,India,Not Specified,Tier 3,Not Specified
3,CloudETC Data Center,CloudETC,https://cloudetc.in,"CloudETC
Sarkhej-Gandhinagar Hwy
380060 Ahmedabad
Gujarat, India",380060,Ahmedabad,Ahmedabad,Gujarat,India,Not Specified,Tier 3,Not Specified
4,DEVPETER DATACENTER,DEVPETER DATACENTER PVT. LTD.,https://www.devpeterdatacenter.com,"DEVPETER DATACENTER PVT. LTD.
427 Block-A, Money Plant High Street
nr Bsnl Office Jagatpur
382470 Ahmedabad
Gujarat, India",382470,Ahmedabad,Ahmedabad,Gujarat,India,0.12,Not Specified,2000 sq. ft.
5,DataFirst Ahmedabad,Data First,https://www.datafirst.in,"Data First
Cambay Grand, Gulab Tower Rd
9th floor
380054 Ahmedabad
gujarat, India",380054,Ahmedabad,Ahmedabad,Gujarat,India,Not Specified,Tier 3,Not Specified
6,ECS Biztech Data Center,ECS Corporation,https://www.ecsbiztech.com,"ECS Corporation
11-12 Garden View
380054 Sindhubhavan
Gujarat, India",380054,Ahmedabad,Ahmedabad,Gujarat,India,Not Specified,Not Specified,465 sq. m.
7,Go4Hosting Ahmedabad,Go4Hosting,https://go4hosting.in,"Go4Hosting
F-402 Titanium City Center, 100 Feet Road, Anandnagar, Satellite
380015 Ahmedabad
Gujarat, India",380015,Ahmedabad,Ahmedabad,Gujarat,India,Not Specified,Tier 3,Not Specified
8,Ishan Technologies Gandhinagar,Ishan Infotech Limited,https://ishantechnologies.com,"Ishan Infotech Limited
Creative Infocity Limited, Infotower 1
Office No. 115
382330 Gandhinagar
India",382330,Gandhinagar,Ahmedabad,Gujarat,India,Not Specified,Not Specified,Not Specified
9,STT Ahmedabad DC 1,STT GDC India,https://www.sttelemediagdc.com,"STT GDC India
Building no. 48, Gyan Marg
382355 Gandhinagar
Gujarat, India",382355,Gandhinagar,Ahmedabad,Gujarat,India,3,Not Specified,70000 sq. ft.
10,VD Networks Data center,VD Networks India Pvt.Ltd,https://vdnetworks.com,"VD Networks India Pvt.Ltd
within Gandhinagar
382355 Gandhi nagar
Gujarat, India",382355,Gandhi nagar,Ahmedabad,Gujarat,India,Not Specified,Not Specified,Not Specified
11,Yotta G1,Yotta,https://yotta.com/datacenter/gujarat-g1,"Yotta
GIFT City, 12th Floor, Signature Building
382355 Gujarat
India",382355,Gandhinagar,Ahmedabad,Gujarat,India,1,Not Specified,1950 sq. ft.
12,BSNL Cochin IDC,BSNL IDC,https://bsnl.co.in/en,"FF, BSNL Telephone bhavan Cherthala, Cochin",688524,Cochin,Alappuzha,Kerala,India,Not Specified,Not Specified,Not Specified
13,NetDataVault,NetDataVault IDC,https://www.netdatavault.com/,"NetDataVault IDC
F-19, RIICO, Phase-1, Bhiwadi
301019 Delhi NCR
India",301019,Alwar,Alwar,Rajasthan,India,Not Specified,Tier 3,5000  sq. ft.
14,BSNL KR Puram IDC,BSNL IDC,https://bsnl.co.in/,"BSNL CACT Complex, Doorwani Nagar, Opp ITI,560016 KR Puram,Karnataka, India",560016,Puram,Bangalore,Karnataka,India,Not Specified,Tier 3,Not Specified
15,"CapitaLand Data Centre, Bangalore 01",CapitaLand Data Centre,https://www.capitaland.com/,"International Tech Park Bangalore, Whitefield Road,560066 Bangalore,India",560066 ,Bengaluru,Bangalore,Karnataka,India,42,Not Specified,Not Specified
