Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
1,Sify Kolkata,Sify Technologies Ltd,https://www.sifytechnologies.com,"DLF IT park 1, Tower-C, Major Arterial Road",700156,Kolkata,Kolkata,West Bengal,India,1.2 MW,Tier III,"15,000 sq. ft."
2,CtrlS Kolkata DC1,CtrlS Datacenters Ltd,https://www.ctrls.com,"Action Area II, Newtown",700157,Kolkata,Kolkata,West Bengal,India,16 MW,Tier IV,"44,000 sq. ft."
3,STT Kolkata DC 1,STT GDC India,https://www.sttelemediagdc.com,"1/18, CIT Rd, Scheme VII M, Ultadanga",700054,Kolkata,Kolkata,West Bengal,India,2.0 MW,Tier III,"20,000 sq. ft."
4,GDC - Kolkata 1,"NTT DATA, Inc.",,"2E/26, Diplomatic Enclave, Action Area 2E",700161,Kolkata,Kolkata,West Bengal,India,40 MW,Not Listed,"500,000 sq. ft."
5,MegaHostZone DC,Megahostzone,https://www.megahostzone.com,"8/5 Kantanagar Road, Berhampore",742102,Kolkata,Kolkata,West Bengal,India,Not Listed,Not Listed,Not Listed
6,Yotta Kolkata Park,Yotta Data Services,https://yotta.com/data-center/,"Birla Rd, Hindmotor, Uttarpara",712233,Kolkata,Kolkata,West Bengal,India,250 MW,Tier IV,100 Acres
7,Nxtra Kolkata I,Nxtra by Airtel,https://www.nxtra.in/,"Action Area IIE, New Town",700156,Kolkata,Kolkata,West Bengal,India,10 MW,Tier III+,"2,400 Racks"
8,STT Kolkata DC 2,STT GDC India,https://www.sttelemediagdc.com,"Plot No. SV-10, Silicon Valley Hub, New Town",700156,Kolkata,Kolkata,West Bengal,India,6 MW,Tier III,"243,500 sq. ft."
9,Tata Comm. Kolkata,Tata Communications,https://www.tatacommunications.com,"1/18, CIT Road Scheme VII-M, Ultadanga",700054,Kolkata,Kolkata,West Bengal,India,Not Listed,Tier III,Not Listed
10,Stridx Kolkata CCU01,Stridx Technologies,https://mistlayer.com,Center of City (within 10km of airport),700054,Kolkata,Kolkata,West Bengal,India,Not Listed,Not Listed,Not Listed
11,Madras Thiruvallur High Rd (MAA10),Digital Realty,https://www.digitalrealty.com,"Digital RealtyMTH Road, Ambattur Industrial Estate",600058,Chennai,Chennai,Tamilnadu,India,150 MW ,,6189 SQ. M
12,"Sify Tidel Park, Chennai",Sify Technologies Ltd,,"No:4, Rajiv Gandhi Salai, Taramani",600113,Chennai,Chennai,Tamilnadu,India,1.6 MW,Not Listed,Not Listed
13,STT Chennai DC 2,STT GDC India,https://www.sttelemediagdc.com,"226, Surapet Main Rd, Kallikuppam",600053,Kallikuppam,Chennai,Tamilnadu,India,45 MW,Not Listed,"400,000 sq.ft."
14,Hostzop Cloud Services Pvt. Ltd.,Hostzop Cloud Services Pvt. Ltd.,https://www.hostzop.com,"SIPCOT, Siruseri, H 15",603103,Chennai,Chennai,Tamilnadu,India,17 MW,Tier III,"3,500 sq. ft."
15,STT Chennai DC 1,STT GDC India,https://www.sttelemediagdc.com,"Videsh Sanchar Bhavan, No.4, Swami Sivananda Salai",600002,Chennai,Chennai,Tamilnadu,India,5 MW,Not Listed,"80,000 sq. ft."
16,GDC - Chennai 2 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-us,"Plot no.:08, Chennai Tiruvallur High Rd, Sai Nagar, Ambattur",600058,Chennai,Chennai,Tamilnadu,India,34.8 MW,Not Listed,Not Listed
17,AdaniConneX Chennai,AdaniConneX,https://www.adaniconnex.com,"SIPCOT IT Park, Plot No H15, Siruseri",603103,Chennai,Chennai,Tamilnadu,India,17 MW,Tier III,"19,789 sq.m"
18,GDC - Chennai 1 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-us,"67, Mathiravedu, Velappanchavadi, Poonamallee high road",600077,Chennai,Chennai,Tamilnadu,India,2 MW,Not Listed,"1,500 sq.m."
19,CtrlS Chennai DC2,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com,"20, 3rd Main Rd, Ambattur Industrial Estate",600058,Chennai,Chennai,Tamilnadu,India,27 MW,Tier IV,"290,000 sq.f."
20,Servernet Services Data Center,Servernet Services P Ltd,https://servernetservices.com/,"73, 1st Main Rd, Second Floor",600041,Chennai,Chennai,Tamilnadu,India,,,
21,"CapitaLand Data Centre, Chennai 01",CapitaLand Data Centre,https://www.capitaland.com/,"Pattravakkam Road, 600098 Chennai,India",600098,Chennai,Chennai,Tamilnadu,India,54 MW,,
22,CtrlS Chennai DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"20, 3rd Main Rd,Ambattur Industrial Estate,600058,Chennai, India",600058,Chennai,Chennai,Tamilnadu,India,,Tier 4,
23,"Sify Siruseri, Chennai 02",Sify Technologies Ltd,https://www.sifytechnologies.com/,"H11/A, Sipcot IT Park,603 103 Siruseri,India",603 103,Chennai,Chennai,Tamilnadu,India,130 MW,Tier 3,
24,Equinix CN1,Equinix,https://www.equinix.com/,"SIPCOT IT Park, Plot H12,603103 Siruseri,India",603 103,Siruseri,Chennai,Tamilnadu,India,24 MW,,12000 sq.m.
25,Nxtra Chennai II,Nxtra by Airtel,https://www.nxtra.in/,"SIPCOT IT Park, 3rd cross street, First Main Road, A32& A33,603103 Siruseri, India",603 103,Siruseri,Chennai,Tamilnadu,India,24 MW,,"25,000 sq.m"
26,LNT CHN 1,L&T Cloudfiniti,https://larsentoubrovyoma.com/,"WR25+6WF, Kanchipuram,602108 Kanchipuram,India",602108,Kanchipuram,Chennai,Tamilnadu,India,30 MW,,36046 sq.m.
27,TD Chennai TD-1,Techno Digital Infra Pvt. Ltd.,https://technodigital.in/,"SIPCOT IT Park, Third Cross Road,Plot No 17 / D21 - 1 & 17, Unit D21 - 2, 603103 ,Siruseri,India",603103,Siruseri,Chennai,Tamilnadu,India,36 MW,,23000 sq.m.
28,Nxtra Chennai I,Nxtra by Airtel,https://www.nxtra.in/,"SIPCOT IT Park, 3rd cross street, First Main Road,F8, 7th Floor,603103 Siruseri,India",603103,Siruseri,Chennai,Tamilnadu,India,3.5 MW,,
29,Digital Connexion,Digital Connexion,https://digitalconnexion.com/,"Plot No 6, Madras Thiruvallur High Rd,600098 Chennai,Tamil Nadu, India",600098,Chennai,Chennai,Tamilnadu,India,,,
30,Hindustan Global Cloud Data Center,HINDUSTAN INDUSTRIAL RESEARCH PRIVATE LIMITE,http://www.hindustancorporate.com/,"Century Plaza, No:560-562, Anna Salai, Thiru Vi Ka Kudiyiruppu, Teynampet,1st Floor,600018 Chennai,Tamil Nadu, India",600018,Chennai,Chennai,Tamilnadu,India,,Tier 3,
31,Iron Mountain Data Centers,Iron Mountain Data Centers,https://www.ironmountain.com/,"Plot No 83, MTH Road,Ambattur Industrial Estate,600 053 Ambattur,India",600 053,Ambattur,Chennai,Tamilnadu,India,23.2 MW,,383540 sq.m.
32,Iron Mountain Data Centers CHN-2,Iron Mountain Data Centers,https://www.ironmountain.com/,"Plot No 84, MTH Road,Ambattur Industrial Estate,600 053 Ambattur,India",600 053,Ambattur,Chennai,Tamilnadu,India,19 MW,,396075 sq.m.
33,RackBank GigaCampus ONE,Rackbank Datacenters Pvt. Ltd.,https://www.rackbank.com/,"Walajabad Road,602106 Sriperumbudur,India",602106,Sriperumbudur,Chennai,Tamilnadu,India,50 MW,,"275,425 sq.m."
34,Nxtra Chennai III,Nxtra by Airtel,https://www.nxtra.in/,"101 Santhome High Road,600028 Chennai,India",600028,Chennai,Chennai,Tamilnadu,India,1.5 MW,,
35,STT Chennai DC 3,STT GDC India,https://www.sttelemediagdc.com/,"226, Surapet Main Rd,600053 Kallikuppam,India",600053,Kallikuppam,Chennai,Tamilnadu,India,15 MW,,
36,Yotta Chennai-Oragadam DC Park,Yotta,https://yotta.com/,"Singaperumal - Oragadam Highway,603204 Oragadam,India",603204,Oragadam,Chennai,Tamilnadu,India,140 MW,,
37,STT Chennai DC 4,STT GDC India,https://www.sttelemediagdc.com/,"226, Surapet Main Rd,600053 Chennai,India",600053,Chennai,Chennai,Tamilnadu,India,18 MW,,
38,Cenmax Chennai,Cenmax,https://cenmax.org/,"19, 2nd main Road Ext, Balaji Nagar,600070 Anakaputhur,Tamil Nadu, India",600070,Anakaputhur,Chennai,Tamilnadu,India,,Tier 3,
39,Ishan Technologies Chennai,Ishan Infotech Limited,https://ishantechnologies.com/,"Fagun Towers,5th Floor,600008 Chennai,India",600008,Chennai,Chennai,Tamilnadu,India,,Tier 3,
40,Colt Chennai,Colt Technology Services,https://www.coltdatacentres.net/,"within Ambattur, Chennai,600053 Ambattur,India",600053,Chennai,Chennai,Tamilnadu,India,72 MW,Tier 3,"76,000 sq.m."
41,Lumina Chennai,Lumina CloudInfra Private Limited,https://www.luminadc.com/,"within Ambattur,600053 Chennai,India",600053,Ambattur,Chennai,Tamilnadu,India,216 MW,,
42,STT Chennai DC 7,STT GDC India,https://www.sttelemediagdc.com/,"within Siruseri, Chennai,TBA Chennai,India",,Siruseri,Chennai,Tamilnadu,India,9.5 MW,,
43,STT Chennai Ambattur Campus,STT GDC India,https://www.sttelemediagdc.com/,"226, Surapet Main Rd,600053 Chennai,India",600053,Chennai,Chennai,Tamilnadu,India,,,
44,Tata Communications Chennai,Tata Communications,https://www.tatacommunications.com/,"4 Swami Sivananda Salai,600002 Chennai,Tamil Nadu, India",600002,Chennai,Chennai,Tamilnadu,India,,Tier 3,
45,Tata Communications Ambattur,Tata Communications,https://www.tatacommunications.com/,"No.226, Red Hills Road Kallikuppam, Ambattur,600053 Chennai,Tamil Nadu, India",600053,Chennai,Chennai,Tamilnadu,India,,Tier 3,
46,Reliance IDC Chennai,Reliance Data Center,https://www.relianceidc.com/,"6 Haddows Rd,600006 Chenai,Tamilnadu, India",600006,Chennai,Chennai,Tamilnadu,India,,,
47,Sify Bangalore,Sify Technologies Ltd,https://www.sifytechnologies.com/,"Cyber Park, Plot no:76/77, Doddathogaur Village,3rd Floor,560100 Electronic ,City Phase One,Karnataka, India",560100 ,Electronic City Phase One,Banagalore,Karnataka,India,2.3 MW,Tier 3,"13,450 sq.f."
48,Iron Mountain Data Centers BLR-1,Iron Mountain Data Centers,https://www.ironmountain.com/,"564 Pattandura Agrahara Main Road Whitefield,560048 Bengaluru,India",560048,,Banagalore,Karnataka,India,4 MW,Tier 3,"80,000 sq.f."
49,GDC - Bengaluru 2 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Plot 88/A S V R Platinum, Electronic City Phase 1,560100 Karnataka,India",,,Banagalore,Karnataka,India,4.5 MW,,"4,000 sq.m."
50,GDC - Bengaluru 4 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Prestige Tech Cloud, Navarathna Agrahara, Bengaluru,562110 Bengaluru,India",562110 ,Bengaluru,Banagalore,Karnataka,India,67.2 MW,Tier 3,"17,000 sq.m."
51,GDC - Bengaluru 3 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Survey No. 146, Kajisonnenehali Village, Bidrahalli,560067 Bengaluru,India",560067,Bengaluru,Banagalore,Karnataka,India,12 MW,,"5,800 sq.m."
52,CtrlS Bangalore DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"Veer Sandra, Electronic City,560100 Bengaluru,Karnataka, India",560100 ,Bengaluru,Banagalore,Karnataka,India,12 MW,Tier 4,"106,536 sq.f."
53,STT Bengaluru DC 2,STT GDC India,https://www.sttelemediagdc.com/,"Plot No. 18-19-20, Epip Layout, KIADB,560066 Whitefield,Karnataka, India",560066 ,Whitefield,Banagalore,Karnataka,India,7 MW,,"100,000 sq.f."
54,Cyfuture Bangalore Data Center,Cyfuture Data Center,https://cyfuture.com/,"Akshaya Commercial Complex, Sri Thyagi M Palanivelu Rd, Vicoria Layout,Bengaluru,560047 Bangalore,India",560047 ,Bengaluru,Banagalore,Karnataka,India,3 MW,Tier 3,185 sq.m
55,STT Bengaluru DC 1,STT GDC India,https://www.sttelemediagdc.com/,"Videsh Sanchar Bhavan, No. 2 , Keb Layout,560094 Geddalahalli,Karnataka, India",560094,Geddalahalli,Banagalore,Karnataka,India,1.25 MW,,"20,000 sq.f."
